Time (min),Temperature (°C),Compressor State,Error (°C),Perturbation (°C)
377,21.40000000000001,0,-0.5999999999999908,0.0
378,21.40000000000001,0,-0.5999999999999908,0.0
379,21.40000000000001,0,-0.5999999999999908,0.0
380,21.40000000000001,0,-0.5999999999999908,0.0
381,21.40000000000001,0,-0.5999999999999908,0.0
382,21.40000000000001,0,-0.5999999999999908,0.0
383,21.40000000000001,0,-0.5999999999999908,0.0
384,21.40000000000001,0,-0.5999999999999908,0.0
385,21.40000000000001,0,-0.5999999999999908,0.0
386,21.40000000000001,0,-0.5999999999999908,0.0
387,21.40000000000001,0,-0.5999999999999908,0.0
388,21.40000000000001,0,-0.5999999999999908,0.0
389,21.40000000000001,0,-0.5999999999999908,0.0
390,21.40000000000001,0,-0.5999999999999908,0.0
391,21.40000000000001,0,-0.5999999999999908,0.0
392,21.40000000000001,0,-0.5999999999999908,0.0
393,21.40000000000001,0,-0.5999999999999908,0.0
394,21.40000000000001,0,-0.5999999999999908,0.0
395,21.40000000000001,0,-0.5999999999999908,0.0
396,21.40000000000001,0,-0.5999999999999908,0.0
397,21.40000000000001,0,-0.5999999999999908,0.0
398,21.40000000000001,0,-0.5999999999999908,0.0
399,21.40000000000001,0,-0.5999999999999908,0.0
400,21.40000000000001,0,-0.5999999999999908,0.0
401,21.40000000000001,0,-0.5999999999999908,0.0
402,21.40000000000001,0,-0.5999999999999908,0.0
403,21.40000000000001,0,-0.5999999999999908,0.0
404,21.40000000000001,0,-0.5999999999999908,0.0
405,21.40000000000001,0,-0.5999999999999908,0.0
406,21.40000000000001,0,-0.5999999999999908,0.0
407,21.40000000000001,0,-0.5999999999999908,0.0
408,21.40000000000001,0,-0.5999999999999908,0.0
409,21.40000000000001,0,-0.5999999999999908,0.0
410,21.40000000000001,0,-0.5999999999999908,0.0
411,21.40000000000001,0,-0.5999999999999908,0.0
412,21.40000000000001,0,-0.5999999999999908,0.0
413,21.40000000000001,0,-0.5999999999999908,0.0
414,21.40000000000001,0,-0.5999999999999908,0.0
415,21.40000000000001,0,-0.5999999999999908,0.0
416,21.40000000000001,0,-0.5999999999999908,0.0
417,21.40000000000001,0,-0.5999999999999908,0.0
418,21.40000000000001,0,-0.5999999999999908,0.0
419,21.40000000000001,0,-0.5999999999999908,0.0
420,21.40000000000001,0,-0.5999999999999908,0.0
421,21.40000000000001,0,-0.5999999999999908,0.0
422,21.40000000000001,0,-0.5999999999999908,0.0
423,21.40000000000001,0,-0.5999999999999908,0.0
424,21.40000000000001,0,-0.5999999999999908,0.0
425,21.40000000000001,0,-0.5999999999999908,0.0
426,21.40000000000001,0,-0.5999999999999908,0.0
427,21.40000000000001,0,-0.5999999999999908,0.0
428,21.40000000000001,0,-0.5999999999999908,0.0
429,21.40000000000001,0,-0.5999999999999908,0.0
430,21.40000000000001,0,-0.5999999999999908,0.0
431,21.40000000000001,0,-0.5999999999999908,0.0
432,21.40000000000001,0,-0.5999999999999908,0.0
433,21.40000000000001,0,-0.5999999999999908,0.0
434,21.40000000000001,0,-0.5999999999999908,0.0
435,21.40000000000001,0,-0.5999999999999908,0.0
436,21.40000000000001,0,-0.5999999999999908,0.0
437,21.40000000000001,0,-0.5999999999999908,0.0
438,21.40000000000001,0,-0.5999999999999908,0.0
439,21.40000000000001,0,-0.5999999999999908,0.0
440,21.40000000000001,0,-0.5999999999999908,0.0
441,21.40000000000001,0,-0.5999999999999908,0.0
442,21.40000000000001,0,-0.5999999999999908,0.0
443,21.40000000000001,0,-0.5999999999999908,0.0
444,21.40000000000001,0,-0.5999999999999908,0.0
445,21.40000000000001,0,-0.5999999999999908,0.0
446,21.40000000000001,0,-0.5999999999999908,0.0
447,21.40000000000001,0,-0.5999999999999908,0.0
448,21.40000000000001,0,-0.5999999999999908,0.0
449,21.40000000000001,0,-0.5999999999999908,0.0
450,21.40000000000001,0,-0.5999999999999908,0.0
451,21.40000000000001,0,-0.5999999999999908,0.0
452,21.40000000000001,0,-0.5999999999999908,0.0
453,21.40000000000001,0,-0.5999999999999908,0.0
454,21.40000000000001,0,-0.5999999999999908,0.0
455,21.40000000000001,0,-0.5999999999999908,0.0
456,21.40000000000001,0,-0.5999999999999908,0.0
457,21.40000000000001,0,-0.5999999999999908,0.0
458,21.40000000000001,0,-0.5999999999999908,0.0
459,21.40000000000001,0,-0.5999999999999908,0.0
460,21.40000000000001,0,-0.5999999999999908,0.0
461,21.40000000000001,0,-0.5999999999999908,0.0
462,21.40000000000001,0,-0.5999999999999908,0.0
463,21.40000000000001,0,-0.5999999999999908,0.0
464,21.40000000000001,0,-0.5999999999999908,0.0
465,21.40000000000001,0,-0.5999999999999908,0.0
466,21.40000000000001,0,-0.5999999999999908,0.0
467,21.40000000000001,0,-0.5999999999999908,0.0
468,21.40000000000001,0,-0.5999999999999908,0.0
469,21.40000000000001,0,-0.5999999999999908,0.0
470,21.40000000000001,0,-0.5999999999999908,0.0
471,21.40000000000001,0,-0.5999999999999908,0.0
472,21.40000000000001,0,-0.5999999999999908,0.0
473,21.40000000000001,0,-0.5999999999999908,0.0
474,21.40000000000001,0,-0.5999999999999908,0.0
475,21.40000000000001,0,-0.5999999999999908,0.0
476,21.40000000000001,0,-0.5999999999999908,0.0
477,21.40000000000001,0,-0.5999999999999908,0.0
478,21.40000000000001,0,-0.5999999999999908,0.0
479,21.40000000000001,0,-0.5999999999999908,0.0
480,21.40000000000001,0,-0.5999999999999908,0.0
481,21.40000000000001,0,-0.5999999999999908,0.0
482,21.40000000000001,0,-0.5999999999999908,0.0
483,21.40000000000001,0,-0.5999999999999908,0.0
484,21.40000000000001,0,-0.5999999999999908,0.0
485,21.40000000000001,0,-0.5999999999999908,0.0
486,21.40000000000001,0,-0.5999999999999908,0.0
487,21.40000000000001,0,-0.5999999999999908,0.0
488,21.40000000000001,0,-0.5999999999999908,0.0
489,21.40000000000001,0,-0.5999999999999908,0.0
490,21.40000000000001,0,-0.5999999999999908,0.0
491,21.40000000000001,0,-0.5999999999999908,0.0
492,21.40000000000001,0,-0.5999999999999908,0.0
493,21.40000000000001,0,-0.5999999999999908,0.0
494,21.40000000000001,0,-0.5999999999999908,0.0
495,21.40000000000001,0,-0.5999999999999908,0.0
496,21.40000000000001,0,-0.5999999999999908,0.0
497,21.40000000000001,0,-0.5999999999999908,0.0
498,21.40000000000001,0,-0.5999999999999908,0.0
